epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03979,1.61018,3.33908,1.31451,0.00985,0.74872,0.12819,0.06511,1.37773,3.00139,1.07372,0.00012,0.00012,0.00012
2,11.3577,1.52235,2.66269,1.20776,0.01116,0.85128,0.24974,0.13932,1.32284,2.86629,1.01776,0.000254852,0.000254852,0.000254852
3,16.57,1.42577,1.73582,1.08558,0.01168,0.89744,0.31832,0.16714,1.45072,2.69283,1.04215,0.00038416,0.00038416,0.00038416
4,22.0128,1.37779,1.57617,1.07283,0.0122,0.93846,0.54402,0.31378,1.35113,2.55857,0.99995,0.000507924,0.000507924,0.000507924
5,28.2473,1.32692,1.35274,1.07576,0.01253,0.9641,0.45663,0.29875,1.19801,2.4952,0.95758,0.000626144,0.000626144,0.000626144
6,34.5114,1.19233,1.31745,1.03781,0.95408,0.21311,0.46505,0.31363,1.19119,2.42101,1.04993,0.00073882,0.00073882,0.00073882
7,40.5915,1.35569,1.38086,1.08824,0.77963,0.42564,0.55498,0.34035,1.27223,2.44461,1.07801,0.000845952,0.000845952,0.000845952
8,46.9878,1.21294,1.31937,1.06813,1,0.20958,0.69149,0.45058,1.13921,2.23105,1.05714,0.00094754,0.00094754,0.00094754
9,53.2989,1.32098,1.26293,1.09128,0.93534,0.22258,0.57928,0.36756,1.11827,2.19667,1.04455,0.00104358,0.00104358,0.00104358
10,59.725,1.26123,1.24074,1.0991,0.8138,0.20174,0.41253,0.28017,1.13436,2.22766,1.04397,0.00113408,0.00113408,0.00113408
11,66.2232,1.24365,1.15836,1.05589,0.77441,0.4,0.49947,0.3103,1.25493,2.1306,1.0905,0.00121904,0.00121904,0.00121904
12,72.6895,1.42688,1.22153,1.14713,0.94567,0.53558,0.67917,0.45825,1.20013,1.87443,1.07236,0.00129845,0.00129845,0.00129845
13,79.0658,1.16318,1.14807,1.05571,0.79149,0.55897,0.67494,0.4585,1.1905,1.66685,1.08677,0.00137232,0.00137232,0.00137232
14,85.3969,1.18323,1.07986,1.02829,0.79149,0.55897,0.67494,0.4585,1.1905,1.66685,1.08677,0.00144064,0.00144064,0.00144064
15,91.663,1.24565,1.14012,1.0842,0.7495,0.6359,0.66545,0.43607,1.21294,1.64371,1.09167,0.0014456,0.0014456,0.0014456
16,98.1861,1.21061,1.08117,1.05944,0.76233,0.64103,0.69589,0.45651,1.1632,1.55863,1.07983,0.001406,0.001406,0.001406
17,104.495,1.22073,1.10458,1.05217,0.70881,0.67692,0.67572,0.45065,1.15825,1.45649,1.09047,0.0013664,0.0013664,0.0013664
18,110.796,1.2354,1.02142,1.02761,0.76778,0.72821,0.77375,0.53194,1.12173,1.20224,1.06466,0.0013268,0.0013268,0.0013268
19,117.038,1.09916,0.98161,1.02158,0.82172,0.68718,0.80066,0.53951,1.11308,1.11839,1.04376,0.0012872,0.0012872,0.0012872
20,123.38,1.26864,1.08724,1.05415,0.80626,0.72308,0.81881,0.56757,1.0815,1.09774,1.03081,0.0012476,0.0012476,0.0012476
21,129.682,1.14257,0.98001,0.99596,0.8469,0.78974,0.87247,0.61245,1.03791,1.06791,1.00841,0.001208,0.001208,0.001208
22,135.761,1.06703,0.93218,0.99074,0.8469,0.78974,0.87247,0.61245,1.03791,1.06791,1.00841,0.0011684,0.0011684,0.0011684
23,142,1.07003,0.91846,1.01017,0.85384,0.83077,0.90177,0.62364,1.01298,0.97,0.99494,0.0011288,0.0011288,0.0011288
24,148.213,1.11805,0.95444,1.00606,0.80243,0.85394,0.88687,0.62248,0.97718,0.90817,0.98459,0.0010892,0.0010892,0.0010892
25,154.454,1.00252,0.88385,0.97811,0.85045,0.87692,0.90188,0.63183,0.96938,0.86942,0.98074,0.0010496,0.0010496,0.0010496
26,160.826,1.11749,0.89868,0.99332,0.93504,0.88205,0.93873,0.6592,1.00167,0.84104,0.99319,0.00101,0.00101,0.00101
27,167.067,1.0504,0.88383,0.95024,0.92098,0.89659,0.93742,0.64882,0.97059,0.81077,0.9751,0.0009704,0.0009704,0.0009704
28,173.204,1.06666,0.8963,1.02663,0.88099,0.91795,0.93516,0.65787,0.96726,0.8464,0.98171,0.0009308,0.0009308,0.0009308
29,179.597,0.94945,0.8133,0.94902,0.90593,0.88898,0.93689,0.67765,0.93416,0.81787,0.9724,0.0008912,0.0008912,0.0008912
30,185.817,1.02502,0.8267,0.9821,0.90593,0.88898,0.93689,0.67765,0.93416,0.81787,0.9724,0.0008516,0.0008516,0.0008516
31,192.041,0.97851,0.81369,0.96015,0.93534,0.89025,0.95525,0.69112,0.901,0.74762,0.96418,0.000812,0.000812,0.000812
32,198.518,1.04145,0.79366,0.97985,0.95395,0.90769,0.96624,0.69403,0.87331,0.69719,0.95217,0.0007724,0.0007724,0.0007724
33,204.838,0.99331,0.86275,0.96976,0.94729,0.9217,0.97053,0.71572,0.84265,0.68213,0.93628,0.0007328,0.0007328,0.0007328
34,211.063,0.99572,0.83558,0.93427,0.94508,0.93333,0.97089,0.71316,0.84596,0.68173,0.93075,0.0006932,0.0006932,0.0006932
35,217.369,0.9917,0.79109,0.96618,0.92035,0.93846,0.95951,0.70271,0.83195,0.68291,0.92455,0.0006536,0.0006536,0.0006536
36,223.498,0.96239,0.81329,0.97387,0.92989,0.95221,0.96403,0.71561,0.80808,0.69436,0.91893,0.000614,0.000614,0.000614
